Type,Disease,Growth Stage,Fertilizer,Quantity,Frequency,Notes,Soil Type,Weather
Fruit,Rust,Flowering,NPK Mixture,14g,Bi-Weekly,Mix lightly into topsoil,Loam,Both
Leaf,Rust,Flowering,NPK Mixture,25g,Bi-Weekly,Avoid excess watering,Sandy,Dry season
Leaf,Rust,Flowering,NPK Mixture,9g,Weekly,Avoid wetting leaves,Sandy,Rainy season
Leaf,Rust,Flowering,NPK Mixture,10g,Monthly,Ensure proper drainage,Sandy,Both
Leaf,Rust,Flowering,NPK Mixture,20g,Bi-Weekly,Avoid excess watering,Not sure,Dry season
Leaf,Rust,Flowering,NPK Mixture,11g,Weekly,Apply after irrigation,Not sure,Rainy season
Leaf,Rust,Flowering,NPK Mixture,18g,Weekly,Mix lightly into topsoil,Not sure,Both
Fruit,Rust,Fruiting,NPK Mixture,25g,Bi-Weekly,Mix lightly into topsoil,Clay,Dry season
Fruit,Rust,Fruiting,NPK Mixture,18g,Bi-Weekly,Avoid wetting leaves,Clay,Rainy season
Leaf,Rust,Fruiting,NPK Mixture,21g,Bi-Weekly,Apply after irrigation,Clay,Both
Leaf,Rust,Fruiting,NPK Mixture,18g,Bi-Weekly,Apply after irrigation,Loam,Dry season
Fruit,Rust,Fruiting,NPK Mixture,10g,Bi-Weekly,Avoid excess watering,Loam,Rainy season
Fruit,Rust,Fruiting,NPK Mixture,10g,Bi-Weekly,Mix lightly into topsoil,Loam,Both
Fruit,Rust,Fruiting,NPK Mixture,17g,Bi-Weekly,Clean fallen fruits,Sandy,Dry season
Fruit,Rust,Fruiting,NPK Mixture,20g,Bi-Weekly,Avoid excess watering,Sandy,Rainy season
Fruit,Rust,Fruiting,NPK Mixture,20g,Bi-Weekly,Ensure proper drainage,Sandy,Both
Fruit,Rust,Fruiting,NPK Mixture,8g,Bi-Weekly,Mix lightly into topsoil,Not sure,Dry season
Leaf,Rust,Fruiting,NPK Mixture,14g,Bi-Weekly,Clean fallen fruits,Not sure,Rainy season
Leaf,Rust,Fruiting,NPK Mixture,19g,Bi-Weekly,Ensure proper drainage,Not sure,Both
Fruit,Algal leaf spot,Seedling,NPK Mixture,20g,Monthly,Avoid wetting leaves,Clay,Dry season
Fruit,Algal leaf spot,Seedling,NPK Mixture,19g,Monthly,Avoid wetting leaves,Clay,Rainy season
Fruit,Algal leaf spot,Seedling,NPK Mixture,22g,Monthly,Avoid wetting leaves,Clay,Both
Leaf,Algal leaf spot,Seedling,NPK Mixture,17g,Monthly,Avoid wetting leaves,Loam,Dry season
Leaf,Algal leaf spot,Seedling,NPK Mixture,22g,Monthly,Ensure proper drainage,Loam,Rainy season
Fruit,Algal leaf spot,Seedling,NPK Mixture,8g,Monthly,Apply after irrigation,Loam,Both
Leaf,Algal leaf spot,Seedling,NPK Mixture,17g,Monthly,Ensure proper drainage,Sandy,Dry season
Fruit,Algal leaf spot,Seedling,NPK Mixture,25g,Monthly,Avoid excess watering,Sandy,Rainy season
Fruit,Algal leaf spot,Seedling,NPK Mixture,21g,Monthly,Avoid wetting leaves,Sandy,Both
Fruit,Algal leaf spot,Seedling,NPK Mixture,21g,Monthly,Clean fallen fruits,Not sure,Dry season
Fruit,Algal leaf spot,Seedling,NPK Mixture,11g,Monthly,Ensure proper drainage,Not sure,Rainy season
Fruit,Algal leaf spot,Seedling,NPK Mixture,14g,Monthly,Apply after irrigation,Not sure,Both
Leaf,Algal leaf spot,Vegetative,NPK Mixture,13g,Monthly,Apply after irrigation,Clay,Dry season
Leaf,Algal leaf spot,Vegetative,NPK Mixture,9g,Bi-Weekly,Avoid excess watering,Clay,Rainy season
Fruit,Algal leaf spot,Vegetative,NPK Mixture,14g,Monthly,Avoid wetting leaves,Clay,Both
Leaf,Algal leaf spot,Vegetative,NPK Mixture,12g,Weekly,Apply after irrigation,Loam,Dry season
Leaf,Algal leaf spot,Vegetative,NPK Mixture,22g,Bi-Weekly,Clean fallen fruits,Loam,Rainy season
Fruit,Algal leaf spot,Vegetative,NPK Mixture,12g,Weekly,Apply after irrigation,Loam,Both
Leaf,Algal leaf spot,Vegetative,NPK Mixture,23g,Weekly,Mix lightly into topsoil,Sandy,Dry season
Fruit,Algal leaf spot,Vegetative,NPK Mixture,24g,Weekly,Avoid wetting leaves,Sandy,Rainy season
Fruit,Algal leaf spot,Vegetative,NPK Mixture,11g,Monthly,Mix lightly into topsoil,Sandy,Both
Fruit,Algal leaf spot,Vegetative,NPK Mixture,15g,Weekly,Ensure proper drainage,Not sure,Dry season
Leaf,Algal leaf spot,Vegetative,NPK Mixture,23g,Monthly,Apply after irrigation,Not sure,Rainy season
Fruit,Algal leaf spot,Vegetative,NPK Mixture,23g,Monthly,Clean fallen fruits,Not sure,Both
Fruit,Algal leaf spot,Flowering,NPK Mixture,23g,Weekly,Avoid excess watering,Clay,Dry season
Fruit,Algal leaf spot,Flowering,NPK Mixture,24g,Monthly,Avoid wetting leaves,Clay,Rainy season
Fruit,Algal leaf spot,Flowering,NPK Mixture,11g,Weekly,Avoid wetting leaves,Clay,Both
Fruit,Algal leaf spot,Flowering,NPK Mixture,16g,Bi-Weekly,Apply after irrigation,Loam,Dry season
Fruit,Algal leaf spot,Flowering,NPK Mixture,8g,Weekly,Apply after irrigation,Loam,Rainy season
Fruit,Algal leaf spot,Flowering,NPK Mixture,12g,Weekly,Clean fallen fruits,Loam,Both
Fruit,Algal leaf spot,Flowering,NPK Mixture,10g,Weekly,Ensure proper drainage,Sandy,Dry season
Fruit,Algal leaf spot,Flowering,NPK Mixture,10g,Bi-Weekly,Avoid wetting leaves,Sandy,Rainy season
Leaf,Algal leaf spot,Flowering,NPK Mixture,11g,Weekly,Mix lightly into topsoil,Sandy,Both
Fruit,Algal leaf spot,Flowering,NPK Mixture,8g,Bi-Weekly,Apply after irrigation,Not sure,Dry season
Leaf,Algal leaf spot,Flowering,NPK Mixture,11g,Monthly,Avoid excess watering,Not sure,Rainy season
Fruit,Algal leaf spot,Flowering,NPK Mixture,11g,Weekly,Apply after irrigation,Not sure,Both
Leaf,Algal leaf spot,Fruiting,NPK Mixture,18g,Bi-Weekly,Mix lightly into topsoil,Clay,Dry season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,16g,Bi-Weekly,Apply after irrigation,Clay,Rainy season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,16g,Bi-Weekly,Avoid excess watering,Clay,Both
Leaf,Algal leaf spot,Fruiting,NPK Mixture,10g,Bi-Weekly,Avoid excess watering,Loam,Dry season
Leaf,Algal leaf spot,Fruiting,NPK Mixture,13g,Bi-Weekly,Apply after irrigation,Loam,Rainy season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,20g,Bi-Weekly,Mix lightly into topsoil,Loam,Both
Fruit,Algal leaf spot,Fruiting,NPK Mixture,23g,Bi-Weekly,Clean fallen fruits,Sandy,Dry season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,8g,Bi-Weekly,Avoid wetting leaves,Sandy,Rainy season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,12g,Bi-Weekly,Avoid excess watering,Sandy,Both
Leaf,Algal leaf spot,Fruiting,NPK Mixture,24g,Bi-Weekly,Clean fallen fruits,Not sure,Dry season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,24g,Bi-Weekly,Clean fallen fruits,Not sure,Rainy season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,24g,Bi-Weekly,Avoid wetting leaves,Not sure,Both
Fruit,Fruit fly damage,Seedling,Bio Fertilizer,38ml,Monthly,Avoid wetting leaves,Clay,Dry season
Leaf,Fruit fly damage,Seedling,Bio Fertilizer,28ml,Monthly,Apply after irrigation,Clay,Rainy season
Leaf,Fruit fly damage,Seedling,Bio Fertilizer,27ml,Monthly,Clean fallen fruits,Clay,Both
Leaf,Fruit fly damage,Seedling,Bio Fertilizer,26ml,Monthly,Avoid wetting leaves,Loam,Dry season
Leaf,Fruit fly damage,Seedling,Bio Fertilizer,36ml,Monthly,Avoid excess watering,Loam,Rainy season
Fruit,Fruit fly damage,Seedling,Bio Fertilizer,22ml,Monthly,Ensure proper drainage,Loam,Both
Fruit,Fruit fly damage,Seedling,Bio Fertilizer,31ml,Monthly,Clean fallen fruits,Sandy,Dry season
Fruit,Fruit fly damage,Seedling,Bio Fertilizer,32ml,Monthly,Mix lightly into topsoil,Sandy,Rainy season
Fruit,Fruit fly damage,Seedling,Bio Fertilizer,25ml,Monthly,Mix lightly into topsoil,Sandy,Both
Fruit,Fruit fly damage,Seedling,Bio Fertilizer,29ml,Monthly,Ensure proper drainage,Not sure,Dry season
Fruit,Fruit fly damage,Seedling,Bio Fertilizer,31ml,Monthly,Ensure proper drainage,Not sure,Rainy season
Fruit,Fruit fly damage,Seedling,Bio Fertilizer,25ml,Monthly,Clean fallen fruits,Not sure,Both
Leaf,Fruit fly damage,Vegetative,Bio Fertilizer,37ml,Bi-Weekly,Avoid excess watering,Clay,Dry season
Leaf,Fruit fly damage,Vegetative,Bio Fertilizer,29ml,Weekly,Ensure proper drainage,Clay,Rainy season
Leaf,Fruit fly damage,Vegetative,Bio Fertilizer,22ml,Monthly,Mix lightly into topsoil,Clay,Both
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,38ml,Weekly,Clean fallen fruits,Loam,Dry season
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,23ml,Bi-Weekly,Apply after irrigation,Loam,Rainy season
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,34ml,Monthly,Ensure proper drainage,Loam,Both
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,26ml,Monthly,Ensure proper drainage,Sandy,Dry season
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,28ml,Monthly,Avoid excess watering,Sandy,Rainy season
Leaf,Fruit fly damage,Vegetative,Bio Fertilizer,36ml,Monthly,Avoid excess watering,Sandy,Both
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,25ml,Weekly,Avoid wetting leaves,Not sure,Dry season
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,24ml,Bi-Weekly,Apply after irrigation,Not sure,Rainy season
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,23ml,Weekly,Clean fallen fruits,Not sure,Both
Leaf,Fruit fly damage,Flowering,Bio Fertilizer,32ml,Bi-Weekly,Mix lightly into topsoil,Clay,Dry season
Leaf,Fruit fly damage,Flowering,Bio Fertilizer,29ml,Bi-Weekly,Avoid excess watering,Clay,Rainy season
Leaf,Fruit fly damage,Flowering,Bio Fertilizer,26ml,Monthly,Mix lightly into topsoil,Clay,Both
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,20ml,Weekly,Mix lightly into topsoil,Loam,Dry season
Leaf,Fruit fly damage,Flowering,Bio Fertilizer,40ml,Bi-Weekly,Clean fallen fruits,Loam,Rainy season
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,23ml,Monthly,Mix lightly into topsoil,Loam,Both
Leaf,Fruit fly damage,Flowering,Bio Fertilizer,22ml,Monthly,Clean fallen fruits,Sandy,Dry season
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,39ml,Monthly,Apply after irrigation,Sandy,Rainy season
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,24ml,Bi-Weekly,Clean fallen fruits,Sandy,Both
Leaf,Fruit fly damage,Flowering,Bio Fertilizer,37ml,Bi-Weekly,Mix lightly into topsoil,Not sure,Dry season
Leaf,Fruit fly damage,Flowering,Bio Fertilizer,38ml,Monthly,Avoid wetting leaves,Not sure,Rainy season
Leaf,Fruit fly damage,Flowering,Bio Fertilizer,23ml,Weekly,Avoid wetting leaves,Not sure,Both
Leaf,Fruit fly damage,Fruiting,Bio Fertilizer,22ml,Bi-Weekly,Apply after irrigation,Clay,Dry season
Leaf,Fruit fly damage,Fruiting,Bio Fertilizer,35ml,Bi-Weekly,Ensure proper drainage,Clay,Rainy season
Fruit,Fruit fly damage,Fruiting,Bio Fertilizer,20ml,Bi-Weekly,Avoid wetting leaves,Clay,Both
Fruit,Fruit fly damage,Fruiting,Bio Fertilizer,23ml,Bi-Weekly,Clean fallen fruits,Loam,Dry season
Leaf,Fruit fly damage,Fruiting,Bio Fertilizer,29ml,Bi-Weekly,Avoid wetting leaves,Loam,Rainy season
Leaf,Fruit fly damage,Fruiting,Bio Fertilizer,36ml,Bi-Weekly,Avoid excess watering,Loam,Both
Fruit,Fruit fly damage,Fruiting,Bio Fertilizer,25ml,Bi-Weekly,Ensure proper drainage,Sandy,Dry season
Leaf,Fruit fly damage,Fruiting,Bio Fertilizer,25ml,Bi-Weekly,Ensure proper drainage,Sandy,Rainy season
Fruit,Fruit fly damage,Fruiting,Bio Fertilizer,35ml,Bi-Weekly,Avoid excess watering,Sandy,Both
Fruit,Fruit fly damage,Fruiting,Bio Fertilizer,36ml,Bi-Weekly,Avoid excess watering,Not sure,Dry season
Leaf,Fruit fly damage,Fruiting,Bio Fertilizer,23ml,Bi-Weekly,Clean fallen fruits,Not sure,Rainy season
Leaf,Fruit fly damage,Fruiting,Bio Fertilizer,26ml,Bi-Weekly,Avoid excess watering,Not sure,Both
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,38ml,Weekly,Ensure proper drainage,Loam,Both
Leaf,Algal leaf spot,Seedling,NPK Mixture,23g,Monthly,Avoid excess watering,Not sure,Rainy season
Fruit,Styler End Rot,Vegetative,Bio Fertilizer,25ml,Monthly,Apply after irrigation,Loam,Both
Leaf,Soft Rot,Flowering,Organic Compost,150g,Monthly,Avoid wetting leaves,Clay,Rainy season
Leaf,Rust,Vegetative,NPK Mixture,22g,Bi-Weekly,Avoid excess watering,Loam,Rainy season
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,32ml,Weekly,Apply after irrigation,Loam,Both
Fruit,Healthy,Flowering,TSP,25g,Bi-Weekly,Avoid wetting leaves,Loam,Dry season
Fruit,Rust,Vegetative,NPK Mixture,10g,Monthly,Ensure proper drainage,Not sure,Both
Leaf,Anthracnose,Fruiting,NPK Mixture,24g,Bi-Weekly,Avoid excess watering,Sandy,Dry season
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,31ml,Weekly,Clean fallen fruits,Loam,Dry season
Fruit,Anthracnose,Seedling,NPK Mixture,12g,Monthly,Ensure proper drainage,Clay,Dry season
Leaf,Soft Rot,Fruiting,Organic Compost,157g,Bi-Weekly,Apply after irrigation,Loam,Dry season
Leaf,Soft Rot,Vegetative,Organic Compost,325g,Bi-Weekly,Apply after irrigation,Not sure,Rainy season
Leaf,Styler End Rot,Seedling,Organic Compost,243g,Monthly,Ensure proper drainage,Clay,Both
Fruit,Soft Rot,Seedling,Organic Compost,212g,Monthly,Avoid wetting leaves,Loam,Dry season
Fruit,Scab,Seedling,NPK Mixture,23g,Monthly,Mix lightly into topsoil,Clay,Dry season
Fruit,Styler End Rot,Fruiting,MOP,18g,Bi-Weekly,Clean fallen fruits,Loam,Rainy season
Fruit,Styler End Rot,Seedling,Organic Compost,301g,Monthly,Mix lightly into topsoil,Not sure,Rainy season
Fruit,Scab,Flowering,NPK Mixture,10g,Monthly,Avoid excess watering,Loam,Rainy season
Leaf,Soft Rot,Fruiting,Organic Compost,152g,Bi-Weekly,Avoid excess watering,Not sure,Dry season
Fruit,Healthy,Flowering,TSP,24g,Weekly,Mix lightly into topsoil,Clay,Dry season
Fruit,Styler End Rot,Vegetative,TSP,18g,Weekly,Clean fallen fruits,Clay,Both
Fruit,Healthy,Fruiting,MOP,8g,Bi-Weekly,Mix lightly into topsoil,Not sure,Both
Fruit,Algal leaf spot,Seedling,NPK Mixture,22g,Monthly,Clean fallen fruits,Not sure,Both
Fruit,Scab,Vegetative,NPK Mixture,21g,Bi-Weekly,Avoid wetting leaves,Not sure,Both
Leaf,Anthracnose,Fruiting,NPK Mixture,17g,Bi-Weekly,Avoid excess watering,Not sure,Both
Fruit,Anthracnose,Seedling,NPK Mixture,25g,Monthly,Avoid excess watering,Loam,Rainy season
Leaf,Anthracnose,Fruiting,NPK Mixture,14g,Bi-Weekly,Avoid excess watering,Sandy,Both
Leaf,Algal leaf spot,Flowering,NPK Mixture,17g,Weekly,Ensure proper drainage,Clay,Both
Leaf,Rust,Vegetative,NPK Mixture,21g,Weekly,Avoid wetting leaves,Sandy,Rainy season
Fruit,Styler End Rot,Vegetative,Farmyard Manure,294g,Weekly,Apply after irrigation,Sandy,Both
Leaf,Rust,Fruiting,NPK Mixture,12g,Bi-Weekly,Avoid wetting leaves,Not sure,Dry season
Leaf,Rust,Flowering,NPK Mixture,24g,Bi-Weekly,Avoid excess watering,Sandy,Both
Fruit,Anthracnose,Flowering,NPK Mixture,14g,Bi-Weekly,Mix lightly into topsoil,Not sure,Rainy season
Leaf,Soft Rot,Flowering,Organic Compost,193g,Weekly,Avoid excess watering,Loam,Rainy season
Leaf,Rust,Fruiting,NPK Mixture,19g,Bi-Weekly,Avoid wetting leaves,Loam,Rainy season
Leaf,Rust,Flowering,NPK Mixture,23g,Bi-Weekly,Mix lightly into topsoil,Sandy,Both
Leaf,Algal leaf spot,Vegetative,NPK Mixture,23g,Monthly,Mix lightly into topsoil,Not sure,Both
Leaf,Anthracnose,Flowering,NPK Mixture,19g,Monthly,Avoid excess watering,Not sure,Dry season
Leaf,Rust,Vegetative,NPK Mixture,16g,Bi-Weekly,Mix lightly into topsoil,Not sure,Rainy season
Leaf,Algal leaf spot,Fruiting,NPK Mixture,19g,Bi-Weekly,Avoid excess watering,Sandy,Rainy season
Fruit,Healthy,Flowering,TSP,15g,Bi-Weekly,Ensure proper drainage,Loam,Both
Leaf,Soft Rot,Vegetative,Organic Compost,187g,Monthly,Avoid wetting leaves,Sandy,Rainy season
Fruit,Soft Rot,Seedling,Organic Compost,254g,Monthly,Avoid excess watering,Not sure,Dry season
Leaf,Rust,Flowering,NPK Mixture,24g,Monthly,Ensure proper drainage,Not sure,Rainy season
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,32ml,Weekly,Avoid wetting leaves,Clay,Rainy season
Leaf,Rust,Seedling,NPK Mixture,22g,Monthly,Ensure proper drainage,Sandy,Dry season
Fruit,Styler End Rot,Flowering,TSP,12g,Weekly,Mix lightly into topsoil,Sandy,Both
Leaf,Rust,Flowering,NPK Mixture,22g,Monthly,Apply after irrigation,Clay,Rainy season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,8g,Bi-Weekly,Apply after irrigation,Clay,Both
Fruit,Anthracnose,Seedling,NPK Mixture,18g,Monthly,Ensure proper drainage,Sandy,Dry season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,24g,Bi-Weekly,Clean fallen fruits,Loam,Rainy season
Fruit,Soft Rot,Vegetative,Organic Compost,274g,Bi-Weekly,Mix lightly into topsoil,Loam,Rainy season
Fruit,Fruit fly damage,Fruiting,Bio Fertilizer,27ml,Bi-Weekly,Clean fallen fruits,Clay,Dry season
Leaf,Scab,Vegetative,NPK Mixture,25g,Bi-Weekly,Clean fallen fruits,Clay,Rainy season
Fruit,Styler End Rot,Fruiting,MOP,15g,Bi-Weekly,Avoid wetting leaves,Sandy,Rainy season
Fruit,Anthracnose,Flowering,NPK Mixture,13g,Weekly,Apply after irrigation,Not sure,Dry season
Fruit,Fruit fly damage,Fruiting,Bio Fertilizer,34ml,Bi-Weekly,Avoid wetting leaves,Not sure,Both
Leaf,Fruit fly damage,Flowering,Bio Fertilizer,32ml,Bi-Weekly,Apply after irrigation,Sandy,Rainy season
Leaf,Scab,Fruiting,NPK Mixture,21g,Bi-Weekly,Avoid excess watering,Not sure,Rainy season
Leaf,Rust,Seedling,NPK Mixture,10g,Monthly,Apply after irrigation,Loam,Dry season
Leaf,Soft Rot,Flowering,Organic Compost,274g,Monthly,Mix lightly into topsoil,Not sure,Rainy season
Leaf,Rust,Flowering,NPK Mixture,24g,Monthly,Apply after irrigation,Loam,Rainy season
Fruit,Scab,Vegetative,NPK Mixture,22g,Monthly,Mix lightly into topsoil,Clay,Both
Fruit,Scab,Seedling,NPK Mixture,13g,Monthly,Apply after irrigation,Clay,Dry season
Fruit,Algal leaf spot,Vegetative,NPK Mixture,25g,Bi-Weekly,Avoid excess watering,Loam,Rainy season
Fruit,Soft Rot,Fruiting,Organic Compost,286g,Bi-Weekly,Ensure proper drainage,Not sure,Dry season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,10g,Bi-Weekly,Avoid excess watering,Not sure,Rainy season
Fruit,Rust,Fruiting,NPK Mixture,8g,Bi-Weekly,Ensure proper drainage,Clay,Both
Leaf,Algal leaf spot,Vegetative,NPK Mixture,25g,Weekly,Avoid excess watering,Loam,Rainy season
Fruit,Scab,Fruiting,NPK Mixture,10g,Bi-Weekly,Mix lightly into topsoil,Clay,Rainy season
Leaf,Rust,Seedling,NPK Mixture,23g,Monthly,Apply after irrigation,Clay,Rainy season
Leaf,Healthy,Fruiting,MOP,14g,Bi-Weekly,Clean fallen fruits,Clay,Both
Leaf,Healthy,Flowering,TSP,13g,Weekly,Avoid excess watering,Not sure,Dry season
Leaf,Scab,Seedling,NPK Mixture,23g,Monthly,Avoid excess watering,Loam,Dry season
Leaf,Healthy,Vegetative,MOP,14g,Bi-Weekly,Clean fallen fruits,Loam,Both
Fruit,Algal leaf spot,Seedling,NPK Mixture,14g,Monthly,Avoid wetting leaves,Sandy,Dry season
Fruit,Scab,Vegetative,NPK Mixture,12g,Bi-Weekly,Clean fallen fruits,Not sure,Both
Fruit,Soft Rot,Fruiting,Organic Compost,246g,Bi-Weekly,Avoid wetting leaves,Loam,Rainy season
Leaf,Algal leaf spot,Flowering,NPK Mixture,21g,Bi-Weekly,Avoid wetting leaves,Sandy,Rainy season
Fruit,Styler End Rot,Flowering,TSP,21g,Weekly,Avoid wetting leaves,Sandy,Dry season
Fruit,Healthy,Flowering,TSP,16g,Bi-Weekly,Clean fallen fruits,Not sure,Dry season
Fruit,Algal leaf spot,Seedling,NPK Mixture,8g,Monthly,Avoid wetting leaves,Not sure,Dry season
Fruit,Rust,Vegetative,NPK Mixture,22g,Bi-Weekly,Avoid wetting leaves,Loam,Both
Fruit,Scab,Flowering,NPK Mixture,10g,Bi-Weekly,Ensure proper drainage,Not sure,Dry season
Fruit,Anthracnose,Seedling,NPK Mixture,18g,Monthly,Mix lightly into topsoil,Not sure,Dry season
Fruit,Fruit fly damage,Seedling,Bio Fertilizer,25ml,Monthly,Mix lightly into topsoil,Not sure,Rainy season
Leaf,Rust,Vegetative,NPK Mixture,8g,Bi-Weekly,Mix lightly into topsoil,Not sure,Rainy season
Leaf,Anthracnose,Flowering,NPK Mixture,12g,Weekly,Clean fallen fruits,Clay,Dry season
Fruit,Healthy,Fruiting,MOP,21g,Bi-Weekly,Ensure proper drainage,Not sure,Both
Leaf,Rust,Vegetative,NPK Mixture,25g,Monthly,Clean fallen fruits,Clay,Dry season
Fruit,Rust,Fruiting,NPK Mixture,17g,Bi-Weekly,Mix lightly into topsoil,Sandy,Rainy season
Leaf,Healthy,Flowering,TSP,12g,Weekly,Ensure proper drainage,Loam,Dry season
Fruit,Healthy,Flowering,TSP,15g,Bi-Weekly,Avoid excess watering,Sandy,Dry season
Leaf,Fruit fly damage,Seedling,Bio Fertilizer,21ml,Monthly,Apply after irrigation,Loam,Both
Leaf,Fruit fly damage,Seedling,Bio Fertilizer,29ml,Monthly,Clean fallen fruits,Loam,Both
Leaf,Healthy,Vegetative,MOP,10g,Bi-Weekly,Avoid wetting leaves,Not sure,Rainy season
Leaf,Soft Rot,Fruiting,Organic Compost,169g,Bi-Weekly,Apply after irrigation,Not sure,Both
Fruit,Fruit fly damage,Seedling,Bio Fertilizer,39ml,Monthly,Avoid wetting leaves,Loam,Dry season
Fruit,Fruit fly damage,Flowering,Bio Fertilizer,24ml,Monthly,Avoid excess watering,Loam,Both
Leaf,Styler End Rot,Flowering,TSP,16g,Monthly,Avoid wetting leaves,Sandy,Rainy season
Fruit,Rust,Flowering,NPK Mixture,21g,Bi-Weekly,Apply after irrigation,Clay,Both
Fruit,Anthracnose,Seedling,NPK Mixture,10g,Monthly,Clean fallen fruits,Not sure,Dry season
Leaf,Styler End Rot,Fruiting,MOP,19g,Bi-Weekly,Clean fallen fruits,Sandy,Both
Fruit,Styler End Rot,Seedling,Organic Compost,211g,Monthly,Apply after irrigation,Sandy,Rainy season
Leaf,Scab,Vegetative,NPK Mixture,10g,Bi-Weekly,Apply after irrigation,Not sure,Dry season
Leaf,Styler End Rot,Vegetative,TSP,8g,Weekly,Avoid excess watering,Not sure,Rainy season
Fruit,Anthracnose,Vegetative,NPK Mixture,23g,Weekly,Clean fallen fruits,Sandy,Both
Leaf,Anthracnose,Flowering,NPK Mixture,14g,Weekly,Avoid wetting leaves,Loam,Both
Leaf,Scab,Vegetative,NPK Mixture,18g,Monthly,Apply after irrigation,Clay,Both
Leaf,Algal leaf spot,Vegetative,NPK Mixture,20g,Bi-Weekly,Apply after irrigation,Clay,Dry season
Fruit,Scab,Flowering,NPK Mixture,17g,Bi-Weekly,Apply after irrigation,Not sure,Dry season
Leaf,Rust,Seedling,NPK Mixture,25g,Monthly,Mix lightly into topsoil,Clay,Both
Fruit,Rust,Vegetative,NPK Mixture,13g,Bi-Weekly,Ensure proper drainage,Sandy,Rainy season
Fruit,Algal leaf spot,Fruiting,NPK Mixture,21g,Bi-Weekly,Apply after irrigation,Not sure,Rainy season
Fruit,Algal leaf spot,Flowering,NPK Mixture,12g,Bi-Weekly,Ensure proper drainage,Clay,Both
Leaf,Anthracnose,Vegetative,NPK Mixture,13g,Bi-Weekly,Clean fallen fruits,Loam,Rainy season
Leaf,Anthracnose,Vegetative,NPK Mixture,21g,Bi-Weekly,Avoid excess watering,Sandy,Dry season
Fruit,Healthy,Fruiting,MOP,24g,Bi-Weekly,Ensure proper drainage,Clay,Both
Leaf,Scab,Vegetative,NPK Mixture,19g,Monthly,Apply after irrigation,Not sure,Rainy season
Leaf,Anthracnose,Vegetative,NPK Mixture,8g,Weekly,Clean fallen fruits,Clay,Dry season
Leaf,Styler End Rot,Seedling,Organic Compost,152g,Monthly,Mix lightly into topsoil,Clay,Both
Leaf,Anthracnose,Fruiting,NPK Mixture,11g,Bi-Weekly,Clean fallen fruits,Not sure,Both
Leaf,Soft Rot,Flowering,Organic Compost,202g,Monthly,Apply after irrigation,Not sure,Both
Fruit,Scab,Fruiting,NPK Mixture,11g,Bi-Weekly,Ensure proper drainage,Not sure,Rainy season
Fruit,Algal leaf spot,Flowering,NPK Mixture,22g,Bi-Weekly,Avoid wetting leaves,Sandy,Dry season
Fruit,Scab,Fruiting,NPK Mixture,9g,Bi-Weekly,Avoid excess watering,Not sure,Both
Leaf,Rust,Vegetative,NPK Mixture,12g,Bi-Weekly,Ensure proper drainage,Loam,Both
Fruit,Fruit fly damage,Fruiting,Bio Fertilizer,26ml,Bi-Weekly,Avoid excess watering,Loam,Both
Leaf,Fruit fly damage,Fruiting,Bio Fertilizer,33ml,Bi-Weekly,Mix lightly into topsoil,Clay,Dry season
Leaf,Scab,Flowering,NPK Mixture,21g,Monthly,Avoid wetting leaves,Loam,Rainy season
Fruit,Soft Rot,Fruiting,Organic Compost,289g,Bi-Weekly,Mix lightly into topsoil,Clay,Rainy season
Fruit,Scab,Seedling,NPK Mixture,18g,Monthly,Apply after irrigation,Not sure,Dry season
Fruit,Algal leaf spot,Vegetative,NPK Mixture,9g,Weekly,Avoid wetting leaves,Clay,Dry season
Fruit,Soft Rot,Fruiting,Organic Compost,316g,Bi-Weekly,Ensure proper drainage,Loam,Both
Fruit,Fruit fly damage,Vegetative,Bio Fertilizer,29ml,Weekly,Clean fallen fruits,Loam,Dry season
Fruit,Algal leaf spot,Vegetative,NPK Mixture,11g,Weekly,Apply after irrigation,Loam,Rainy season
